City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
475,Excelsior Springs,US,2021-04-11 09:20:22,39.3392,-94.2261,41.0,75,1,3.44,clear sky,0.0,0
476,Vilyuysk,RU,2021-04-11 09:20:23,63.7553,121.6247,17.38,81,93,8.68,overcast clouds,0.0,0
477,Nantucket,US,2021-04-11 09:20:23,41.2835,-70.0995,50.0,100,90,9.22,fog,0.0,0
478,Rengo,CL,2021-04-11 09:20:23,-34.4167,-70.8667,42.8,100,0,2.3,clear sky,0.0,0
479,Paamiut,GL,2021-04-11 09:20:24,61.994,-49.6678,28.22,78,83,7.81,broken clouds,0.0,0
480,Nioro,GM,2021-04-11 09:20:24,13.35,-15.75,82.26,29,1,6.04,clear sky,0.0,0
481,Brigham City,US,2021-04-11 09:19:59,41.5102,-112.0155,44.6,33,1,10.36,clear sky,0.0,0
482,Kota Kinabalu,MY,2021-04-11 09:20:24,5.9749,116.0724,75.2,100,40,3.44,moderate rain,0.0,0
483,Maltahohe,NA,2021-04-11 09:20:25,-24.8333,16.9833,80.78,22,0,16.58,clear sky,0.0,0
484,Balkhash,KZ,2021-04-11 09:20:25,46.844,74.9804,66.2,11,0,29.08,clear sky,0.0,0
485,Olafsvik,IS,2021-04-11 09:20:25,64.8945,-23.7142,37.4,97,100,16.69,overcast clouds,0.0,0
486,Kendari,ID,2021-04-11 09:20:26,-3.945,122.4989,83.91,71,96,4.16,overcast clouds,0.0,0
487,Kaeo,NZ,2021-04-11 09:20:26,-35.1,173.7833,64.0,95,9,3.65,clear sky,0.0,0
488,Seoul,KR,2021-04-11 09:18:49,37.5683,126.9778,69.8,34,0,9.22,clear sky,0.0,0
489,Atbasar,KZ,2021-04-11 09:17:19,51.8,68.3333,34.86,100,47,8.59,scattered clouds,0.0,0
490,Belyy Yar,RU,2021-04-11 09:20:27,53.6039,91.3903,48.2,15,0,4.47,clear sky,0.0,0
491,Innisfail,AU,2021-04-11 09:20:27,-17.5333,146.0333,76.82,85,15,4.23,few clouds,0.0,0
492,Pacific Grove,US,2021-04-11 09:20:27,36.6177,-121.9166,50.0,81,90,4.61,overcast clouds,0.0,0
493,Akkermanovka,RU,2021-04-11 09:20:28,51.2467,58.2391,48.2,71,0,8.95,clear sky,0.0,0
494,Anshun,CN,2021-04-11 09:20:28,26.25,105.9333,54.93,97,100,5.97,overcast clouds,0.0,0
495,Cataguases,BR,2021-04-11 09:20:28,-21.3892,-42.6967,61.16,96,0,2.13,clear sky,0.0,0
496,Wewak,PG,2021-04-11 09:20:29,-3.5534,143.6268,80.6,85,96,14.47,overcast clouds,0.0,0
497,Nanlong,CN,2021-04-11 09:20:29,31.3533,106.0631,58.39,81,100,5.19,overcast clouds,0.0,0
498,Ixtapa,MX,2021-04-11 09:17:55,20.7,-105.2,72.0,85,100,2.59,overcast clouds,0.0,0
499,Marigot,MF,2021-04-11 09:20:30,18.0667,-63.0833,75.99,64,20,10.36,few clouds,0.0,0
500,Sibu,MY,2021-04-11 09:20:30,2.3,111.8167,89.01,66,20,4.61,few clouds,0.0,0
501,Sangar,RU,2021-04-11 09:20:30,63.9242,127.4739,18.59,86,100,6.69,overcast clouds,0.0,0
502,Ouango,CF,2021-04-11 09:20:31,4.3133,22.5552,88.9,47,97,3.29,overcast clouds,0.0,0
503,Chapais,CA,2021-04-11 09:17:45,49.7834,-74.8492,35.6,87,75,8.05,broken clouds,0.0,0
504,Salinas,US,2021-04-11 09:15:40,36.6777,-121.6555,50.0,81,90,6.91,overcast clouds,0.0,0
505,Atakpame,TG,2021-04-11 09:20:31,7.5333,1.1333,84.22,58,92,5.55,overcast clouds,0.0,0
506,Manta,EC,2021-04-11 09:20:32,-0.95,-80.7333,77.0,88,90,5.75,overcast clouds,0.0,0
507,Rupert,US,2021-04-11 09:16:49,42.6191,-113.6772,32.0,43,1,19.57,clear sky,0.0,0
508,Paducah,US,2021-04-11 09:18:19,37.0834,-88.6001,55.4,62,90,19.57,overcast clouds,0.0,0
509,Marsh Harbour,BS,2021-04-11 09:20:32,26.5412,-77.0636,74.37,72,8,19.98,clear sky,0.0,0
510,Umm Lajj,SA,2021-04-11 09:20:33,25.0213,37.2685,76.05,40,0,20.29,clear sky,0.0,0
511,Flinders,AU,2021-04-11 09:20:33,-34.5833,150.8552,59.0,49,70,7.0,broken clouds,0.0,0
512,Sergeyevka,KZ,2021-04-11 09:20:33,53.88,67.4158,36.91,99,83,3.8,broken clouds,0.0,0
513,Karpathos,GR,2021-04-11 09:20:34,35.507,27.2132,59.0,31,0,25.32,clear sky,0.0,0
514,Nouadhibou,MR,2021-04-11 09:20:34,20.931,-17.0347,69.8,56,0,19.57,clear sky,0.0,0
515,Kitimat,CA,2021-04-11 09:20:34,54.0524,-128.6534,36.0,81,97,2.28,light snow,0.0,0
516,Treinta Y Tres,UY,2021-04-11 09:20:35,-33.2333,-54.3833,69.85,92,97,13.06,overcast clouds,0.0,0
517,De Aar,ZA,2021-04-11 09:18:02,-30.6497,24.0123,82.83,23,98,11.99,overcast clouds,0.0,0
518,Ankazobe,MG,2021-04-11 09:20:35,-18.3167,47.1167,75.2,57,75,9.22,broken clouds,0.0,0
519,Paranaiba,BR,2021-04-11 09:20:36,-19.6772,-51.1908,63.64,56,0,4.68,clear sky,0.0,0
520,Tumwater,US,2021-04-11 09:18:19,47.0073,-122.9093,33.01,86,90,1.68,overcast clouds,0.0,0
521,Kurumkan,RU,2021-04-11 09:20:36,54.3,110.3,27.34,30,1,10.18,clear sky,0.0,0
522,Terney,RU,2021-04-11 09:20:37,45.0503,136.6092,44.42,69,100,9.78,overcast clouds,0.0,0
523,Eyl,SO,2021-04-11 09:20:37,7.9803,49.8164,86.77,51,89,13.94,overcast clouds,0.0,0
524,Kodinsk,RU,2021-04-11 09:20:37,58.6881,99.1844,35.89,75,100,8.66,overcast clouds,0.0,0
525,Breves,BR,2021-04-11 09:20:38,-1.6822,-50.4803,72.75,96,99,3.18,overcast clouds,0.0,0
526,Sorong,ID,2021-04-11 09:20:38,-0.8833,131.25,82.26,77,100,6.64,overcast clouds,0.0,0
527,Buin,CL,2021-04-11 09:20:38,-33.7333,-70.75,44.6,81,0,2.3,clear sky,0.0,0
