City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,Lae,-6.7221,146.9847,79.66,81,91,1.92,PG,2021-04-06 11:42:32
223,Laguna,38.421,-121.4238,48.0,93,1,4.61,US,2021-04-06 11:42:32
224,Shirokiy,49.758,129.523,23.9,48,53,16.17,RU,2021-04-06 11:42:32
225,San Quintin,30.4833,-115.95,57.94,84,41,12.95,MX,2021-04-06 11:42:33
226,Goulburn,-34.75,149.7167,62.01,89,19,4.94,AU,2021-04-06 11:42:33
227,Berlevag,70.8578,29.0864,35.6,75,75,20.71,NO,2021-04-06 11:42:33
228,Danilov,58.1908,40.1717,41.63,85,61,14.14,RU,2021-04-06 11:42:34
229,Ivanivka,46.7208,34.553,55.71,39,0,13.6,UA,2021-04-06 11:42:34
230,San Rafael,-34.6177,-68.3301,68.86,74,4,6.91,AR,2021-04-06 11:40:35
231,Bengkulu,-3.8004,102.2655,78.51,83,86,5.7,ID,2021-04-06 11:42:03
232,Victoria,22.2855,114.1577,75.0,80,29,1.99,HK,2021-04-06 11:40:40
233,Namibe,-15.1961,12.1522,83.86,61,56,9.89,AO,2021-04-06 11:42:35
234,Isangel,-19.55,169.2667,76.44,79,74,11.16,VU,2021-04-06 11:42:35
235,Asau,46.4333,26.4,62.01,18,30,6.49,RO,2021-04-06 11:42:36
236,Komsomolskiy,40.4272,71.7189,64.4,36,87,4.61,UZ,2021-04-06 11:42:36
237,Gogosari,43.8667,25.7,63.0,40,0,3.29,RO,2021-04-06 11:42:37
238,Saint-Denis,48.9167,2.3333,45.0,36,75,12.66,FR,2021-04-06 11:42:37
239,Nouakchott,18.0858,-15.9785,93.2,12,15,14.97,MR,2021-04-06 11:42:37
240,Richards Bay,-28.783,32.0377,75.11,76,66,6.11,ZA,2021-04-06 11:42:38
241,Rawson,-43.3002,-65.1023,60.8,100,75,6.91,AR,2021-04-06 11:42:38
242,Kavaratti,10.5669,72.642,84.78,67,82,7.25,IN,2021-04-06 11:42:38
243,Marienburg,54.0359,19.0266,46.0,49,100,11.72,PL,2021-04-06 11:41:23
244,Half Moon Bay,37.4636,-122.4286,50.0,81,90,4.61,US,2021-04-06 11:42:39
245,Ponta Do Sol,32.6667,-17.1,68.0,64,20,9.22,PT,2021-04-06 11:42:39
246,Bairiki,1.3292,172.9752,78.8,89,90,2.3,KI,2021-04-06 11:42:39
247,Erzin,36.9559,36.2,73.99,50,86,1.99,TR,2021-04-06 11:42:40
248,Vostok,46.4856,135.8833,28.29,93,92,4.97,RU,2021-04-06 11:42:40
249,Oktyabrskiy,54.4815,53.471,36.45,88,86,12.28,RU,2021-04-06 11:42:40
250,Axim,4.8699,-2.2405,85.35,71,29,7.7,GH,2021-04-06 11:42:41
251,Negombo,7.2083,79.8358,87.8,74,20,4.61,LK,2021-04-06 11:42:41
252,Homer,59.6425,-151.5483,24.8,74,1,10.8,US,2021-04-06 11:42:42
253,Vanimo,-2.6741,141.3028,78.31,86,100,1.57,PG,2021-04-06 11:42:42
254,Mabaruma,8.2,-59.7833,77.13,94,90,3.24,GY,2021-04-06 11:42:42
255,Guadalupe Y Calvo,26.1,-106.9667,44.28,46,6,3.85,MX,2021-04-06 11:42:42
256,Brae,60.3964,-1.353,35.6,64,75,35.68,GB,2021-04-06 11:42:43
257,Hay River,60.8156,-115.7999,23.0,86,100,10.36,CA,2021-04-06 11:42:43
258,Maniitsoq,65.4167,-52.9,25.81,81,100,5.73,GL,2021-04-06 11:42:43
