City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,San Luis,AR,44.01,clear sky,-33.295,-66.3356,Huarpes Hotel
138,Boa Vista,BR,73.4,heavy intensity rain,2.8197,-60.6733,Aipana Plaza Hotel
139,Faanui,PF,82.44,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
140,Bambous Virieux,MU,82.99,light rain,-20.3428,57.7575,Casa Tia Villa
141,Camargo,MX,66.96,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
143,Peno,RU,46.8,light rain,56.9262,32.7426,Country House Orlinka
144,Samarai,PG,80.89,broken clouds,-10.6167,150.6667,Nuli Sapi
145,Bay Roberts,CA,34.0,light rain,47.5999,-53.2648,Stonewall Inn
146,Airai,TL,64.78,scattered clouds,-8.9266,125.4092,Juvinal Martin
147,Lagoa,PT,60.87,overcast clouds,39.05,-27.9833,Casa Das Faias
148,Muroto,JP,62.6,scattered clouds,33.2833,134.15,Oota Ryokan
149,Lahat,ID,84.2,scattered clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
150,Oliver,CA,33.8,few clouds,49.1831,-119.5524,Cactus Tree Inn
152,Polonnaruwa,LK,92.53,broken clouds,7.9333,81.0,Thisara Guest House
153,Port Elizabeth,ZA,73.4,clear sky,-33.918,25.5701,39 On Nile Guest House
154,Thap Than,TH,95.0,overcast clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
155,Clinton,US,55.99,overcast clouds,42.586999999999996,-82.9199,Hampton Inn Detroit/Roseville
157,Robertsport,LR,81.46,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
158,Polignano A Mare,IT,63.0,scattered clouds,40.9959,17.2159,Grotta Palazzese
159,Havre-Saint-Pierre,CA,39.2,mist,50.2334,-63.5986,Auberge Niapiskau
160,Sao Filipe,CV,75.11,clear sky,14.8961,-24.4956,Tortuga B&B
161,Lubao,PH,93.2,scattered clouds,14.9167,120.55,Hacienda Gracia
162,Coquimbo,CL,53.6,clear sky,-29.9533,-71.3436,Punto de encuentro
163,Esperance,AU,66.2,light rain,-33.8667,121.9,Hospitality Esperance
164,Cape Town,ZA,71.01,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
165,Puerto Del Rosario,ES,68.0,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
166,Lapeer,US,53.6,overcast clouds,43.0514,-83.3188,Holiday Inn Express Lapeer
167,Hamilton,US,52.0,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
168,Uige,AO,75.2,light rain,-7.6087,15.0613,Hotel Catraio
169,Castro,BR,56.82,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
170,Chuy,UY,69.87,heavy intensity rain,-33.6971,-53.4616,Nuevo Hotel Plaza
171,Bandarbeyla,SO,84.63,few clouds,9.4942,50.8122,JABIR HOTEL
172,Arroyo,ES,46.99,overcast clouds,41.6096,-4.7969,Hotel El Jardín de la Abadía
173,Mutsu,JP,50.0,few clouds,41.2894,141.2169,Mutsu Park Hotel
174,Torbay,CA,35.01,moderate rain,47.6666,-52.7314,Gallows Cove
175,Bassar,TG,84.2,clear sky,9.25,0.7833,RGG
176,Guerrero Negro,MX,59.11,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
177,Chimbote,PE,67.46,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
178,Vila Franca Do Campo,PT,62.6,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
179,Ahuimanu,US,71.6,clear sky,21.4447,-157.8378,Paradise Bay Resort
180,Tweed,CA,57.0,overcast clouds,44.4751,-77.3162,Stoco Lake Lodge at Trudeau Park
181,Pasighat,IN,85.64,scattered clouds,28.0667,95.3333,Siang Guest House
182,Bethel,US,53.6,fog,41.3712,-73.414,Courtyard by Marriott Danbury
183,Klaksvik,FO,32.0,overcast clouds,62.2266,-6.5889999999999995,Airbnb rooms
185,Yar-Sale,RU,33.04,broken clouds,66.8333,70.8333,Yalemd
186,Boras,SE,39.0,light rain,57.721000000000004,12.9401,Scandic Plaza Borås
187,Severo-Kurilsk,RU,28.45,scattered clouds,50.6789,156.125,Kak Doma
188,Solnechnyy,RU,42.03,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
189,General Roca,AR,53.6,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
190,Khandyga,RU,19.62,light snow,62.6667,135.6,Apel'sin
191,Tuntum,BR,70.66,broken clouds,-5.2581,-44.6489,Casa do Murilo
192,Krasnoufimsk,RU,50.79,overcast clouds,56.6059,57.7669,Gostinitsa
193,Cookeville,US,52.0,clear sky,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
194,Ojinaga,MX,68.0,clear sky,29.5667,-104.4167,Suites Las Palmas
195,Lata,PT,57.99,broken clouds,40.1629,-8.3327,Casa Maquia
196,Mountain Home,US,32.0,clear sky,43.133,-115.6912,Mountain Home Inn
197,Broome,US,55.0,clear sky,42.2506,-75.833,Chenango Valley State Park
198,Kloulklubed,PW,82.4,light rain,7.0419,134.2556,Storyboard Beach Resort
199,Namibe,AO,86.0,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
200,Karratha,AU,85.84,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
201,Kruisfontein,ZA,78.01,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
202,Santona,ES,53.01,broken clouds,43.4439,-3.4576,Playamar
205,Milove,UA,54.25,light rain,49.3787,40.1302,СТРЕЛЕЦКАЯ СЛОБОДА
206,Jinchang,CN,56.53,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
207,Touros,BR,73.4,few clouds,-5.1989,-35.4608,INN NEW HORIZON
208,Ardesen,TR,48.2,broken clouds,41.1911,40.9875,Green Suada Hotel
209,Autazes,BR,71.85,overcast clouds,-3.5797,-59.1306,Apart hotel Tupinambá
210,Tyukalinsk,RU,34.02,overcast clouds,55.8732,72.1967,Гостиница Тюкалинск
211,Ust-Tsilma,RU,37.85,overcast clouds,65.441,52.1498,U Praskov'i
212,Victoria,HK,82.4,few clouds,22.2855,114.1577,Mini Hotel Central
213,Nome,US,15.8,haze,64.5011,-165.4064,Dredge 7 Inn
215,Sao Joao Da Barra,BR,67.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
216,Fukumitsu,JP,55.0,clear sky,36.55,136.8667,TSUBAKI HOUSE
217,Talnakh,RU,30.47,broken clouds,69.4865,88.3972,Talnakh Hotel
218,Santa Maria,BR,73.83,few clouds,-29.6842,-53.8069,Hotel Morotin
219,Chicama,PE,70.21,overcast clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
220,Saint-Pierre,RE,84.2,light rain,-21.3393,55.4781,Lindsey Hôtel
